Name, Type, Id, Lon, Lat
Црква Св. Ѓoрѓијa, null, 1810969277, 41.1175675, 20.813755
Св. Архангел Михаил, null, 1858002710, 42.0022077, 21.4570304
Sv. Krstovden-Kuckovo, null, 1734371364, 42.0517106, 21.3110252
Св. Ѓорѓи, null, 1862356492, 42.0120358, 21.4437044
Црвка Свети Никола, null, 2329319091, 41.3684197, 21.2489142
Св. Атанасиј, null, 3668940810, 41.0862188, 21.7189094
Museum Teracotta, null, 1272898175, 41.8841902, 22.5049622
Св. Илија, null, 7527468054, 41.3114056, 21.2693602
Св. Петар, null, 7817897452, 41.170636, 21.1062438
Св. Петар и Павле, null, 8354108495, 41.2081362, 21.8166951
Кешанли џамија, null, 6781572386, 41.1200128, 20.811041
Св. Атанасиј Велики, null, 9688462140, 41.4648106, 21.2938385
Sedlarevo Mosque, null, 10951472385, 41.8825844, 21.1272696
Св. Атанасиј, null, 3448229854, 41.4874316, 21.3607967
св. Тројица, null, 4498536257, 42.1028052, 21.3784397
св. Тројица, null, 4498536259, 42.1028549, 21.3780749
Крст, null, 4332828390, 41.9779014, 21.4642214
Свети Димитриј, null, 8850780300, 41.0224151, 21.2840092
Св. Димитриј Солунски, null, 8358934338, 41.257826, 21.6897203
Света Ана, null, 8850804720, 41.0274848, 21.1120413
Св. Петка, null, 6223594904, 41.3092751, 21.5149422
Св.Спас, null, 2546777587, 41.9350625, 21.5176547
Араста-џамија, null, 2992591830, 42.00191, 21.4370676
џа́мија, null, 4247632891, 41.8188966, 20.8872549
Св. Архангел Михаил, null, 11335541069, 41.3070686, 21.1873038
Св. Илија, null, 5349039199, 41.2707376, 21.4439853
Црква „Св. Недела“ - Теново, null, 3039868345, 41.8829405, 20.9917833
Црква "Свети Никола", null, 2737303422, 41.7580574, 20.8787335
Assumption of Mary, null, 6079524190, 42.021894, 22.5882451
Св. Троица, null, 4142994460, 41.3415981, 21.4368762
Долна, null, 9633105755, 41.4794733, 21.3178982
Баталоска, null, 9633105751, 41.4780702, 21.3282021
Свети Никола, null, 1708396500, 42.1374329, 21.7202523
Св. Петар и Павле, null, 9162112904, 41.5115602, 20.9633609
Рождество на Пресвета Богородица, null, 8294595910, 41.4380301, 21.7424234
Св. Богородица Балаклија - манастир, null, 3695321380, 41.9659677, 22.7595526
Св. Великомаченик Георгиј, null, 3617557760, 42.198478, 21.8283274
Св. Пантелејмон, null, 8894753909, 41.0208863, 21.324734
Manastir Sveti Ilija, null, 4059931649, 41.812649, 21.6647825
Св. Петка, null, 10106695772, 41.4429947, 22.0081586
Св. Јован Крстител, null, 4126731624, 41.9899539, 21.4746421
Св. Георгиј, null, 9633105721, 41.4789068, 21.3147331
Браиловски Манастир, null, 3414825546, 41.466849, 21.4629407
Св. Петка, null, 8354108503, 41.2061818, 21.8139313
Manastir Sv. Spas, null, 487144996, 41.445737, 21.9811109
Музеј на современата уметност, null, 370404760, 42.0043142, 21.4325172
Св. Илија, null, 3414825526, 41.4670724, 21.4622961
Евангелска Конгрешанска Црква, null, 5176266055, 41.9983971, 21.4148541
Манастир Св. 15 Маченици, null, 4817137480, 41.4300424, 22.6409328
Св. Димитрија, null, 1879222959, 41.8935746, 21.4021727
Xhamia Alikurtaj, null, 11158761745, 41.5761344, 20.9274062
Црква „Св. Апостоли Петар и Павле“, null, 9325417678, 41.964528, 21.4934686
Св. Никола, null, 4796827046, 41.3781754, 21.8058471
Св. Константин и Св. Елена, null, 10214913284, 41.0259886, 21.3320098
Св. Ана, null, 10214913292, 41.0387323, 21.323833
Sveti Nikola Bolnički, null, 9259515789, 41.1121587, 20.7974437
Св. Никола, null, 2159870599, 41.2588989, 21.4227476
Соборен храм Свети Климент Охридски, null, 1858800091, 41.9982824, 21.4264746
Џамија Центар Жировница, null, 2700244159, 41.6737826, 20.585904
Св. Кирил и Методиј, null, 10597135826, 41.2018449, 21.400401
Св. Архангел Гаврил, null, 10572815607, 41.0357986, 21.3025648
Dzamija, null, 4502488689, 41.9237954, 20.9163298
Св. Димитриј Солунски, null, 8181359639, 41.0370896, 21.7427573
Св. Харалампиј, null, 8358830679, 41.1774159, 21.825362
Меморијален музеј Народен херој Кузман Јосифоски-Питу, null, 10647622855, 41.3424673, 21.5597305
Eтнолошки музеј, null, 5699016423, 41.0240503, 21.0506131
Будинаречки Манастир, null, 8181359649, 41.0374743, 21.742411
Св. Георгиј, null, 3414884596, 41.5013024, 21.4518228
Св. Никола, null, 4140172421, 41.4076713, 21.3965792
Christijanski Zentar, null, 6830542387, 42.0013585, 21.4167475
Mosque, null, 6830542388, 41.976259, 20.9558771
Св. Илија, null, 3447208967, 41.5372247, 21.3725561
Света Недела, null, 7373522743, 41.7503884, 22.2211631
Св. Троица, null, 8294603426, 41.4382142, 21.7427842
Св. Георгиј, null, 8354375025, 41.2817077, 21.6699494
Св. Атанасиј, null, 3672030303, 41.8085051, 20.7881466
Св. Мина, null, 3672030302, 41.80247, 20.8071214
Goce Delchev Memorial House, null, 8582635870, 41.0268197, 21.3320703
Кадан Ана Џамија, null, 4423436040, 41.7379228, 22.1978173
Св. Архангел Михаил, null, 4432775526, 41.7381482, 22.1912421
Св. Петка, null, 8354375059, 41.2866582, 21.670613
Evangelic-Methodist Church, null, 1790461639, 41.3809777, 22.812212
Св. Димитриј, null, 4137787172, 40.9531028, 21.3559622
Никодински Манастир, null, 8294603434, 41.439082, 21.7432323
Sv. Dimitrija, null, 503526281, 41.744353, 20.6993512
